styleid,Url,len_Fabulyst,len_Myntra,correct?,analysis
1549178,http://myntra.myntassets.com/assets/images/1549178/2016/10/2/11475380634473-Anouk-Women-Kurtas-4451475380634282-1.jpg,Calf Length,Calf Length,TRUE,
2477324,http://myntra.myntassets.com/assets/images/2477324/2018/2/24/11519448915412-Libas-Women-Beige-Solid-Straight-Kurta-4971519448915303-1.jpg,Calf Length,Calf Length,TRUE,
2250042,http://myntra.myntassets.com/assets/images/2250042/2018/1/5/11515128154000-AKS-Women-Navy--Red-Printed-Layered-A-Line-Kurta-5971515128153902-1.jpg,Ankle Length,,FALSE,TN
2424392,http://myntra.myntassets.com/assets/images/2424392/2018/1/29/11517209808099-Shree-Women-Blue-Printed-Straight-Kurta-3011517209808017-1.jpg,Calf Length,Calf Length,TRUE,
1022918,http://myntra.myntassets.com/assets/images/1022918/2015/10/12/11444637425258-Cenizas-Yellow-Printed-Kurta-1311444637424901-1.jpg,Ankle Length,Ankle Length,TRUE,
1824635,http://myntra.myntassets.com/assets/images/1824635/2017/3/27/11490611591005-Ives-Women-Kurtas-9161490611590816-1.jpg,Calf Length,Calf Length,TRUE,
1521136,http://myntra.myntassets.com/assets/images/1521136/2018/1/3/11514968146090-Pannkh-Women-Orange-Printed-A-Line-Kurta-8691514968145894-1.jpg,Above Knee,Knee Length,FALSE,FN
1246404,http://myntra.myntassets.com/assets/images/1246404/2016/3/3/11456982346488-Uptown-Galeria-Red-Printed-Kurta-7831456982346200-1.jpg,Calf Length,Calf Length,TRUE,
2355044,http://myntra.myntassets.com/assets/images/2355044/2017/12/20/11513762790927-Round-Neck-Half-N-Half-Printed-Kurta-With-Short-Sleeves-3751513762790887-1.jpg,Knee Length,Knee Length,TRUE,
2168761,http://myntra.myntassets.com/assets/images/2168761/2017/10/11/11507711633786-Varanga-Women-Coral-Printed-A-Line-Kurta-131507711633601-1.jpg,Calf Length,Knee Length,FALSE,TN
1662986,http://myntra.myntassets.com/assets/images/1662986/2016/11/29/11480402868839-Evam-Women-Kurtas-201480402868700-1.jpg,Knee Length,Knee Length,TRUE,
1315886,http://myntra.myntassets.com/assets/images/1315886/2016/5/9/11462788787479-AKKRITI-BY-PANTALOONS-Women-Tunics-5281462788787190-1.jpg,Above Knee,Knee Length,FALSE,FN
1773187,http://myntra.myntassets.com/assets/images/1773187/2017/12/1/11512108108203-AURELIA-Women-White-Checked-Straight-Kurta-8651512108108114-1.jpg,Calf Length,Knee Length,FALSE,FN
1810617,http://myntra.myntassets.com/assets/images/1810617/2017/4/4/11491300642069-Moda-Rapido-Women-Cream-Printed-Straight-Kurta-8561491300641930-1.jpg,Knee Length,Knee Length,TRUE,
2427316,http://myntra.myntassets.com/assets/images/2427316/2018/2/7/11517982610587-Jashn-grey-floral-print-crepe-kurti-6591517982610359-1.jpg,Knee Length,Knee Length,TRUE,
2403044,http://myntra.myntassets.com/assets/images/2403044/2018/3/1/11519886579588-W-Women-Yellow--Navy-Blue-Printed-A-Line-Kurta-9391519886579435-1.jpg,Calf Length,Calf Length,TRUE,
2508743,http://myntra.myntassets.com/assets/images/2508743/2018/2/22/11519298073425-Ishin-Rayon-Brown-Printed-Party-Wear-New-Collection-Womens-A-line-KurtaKurti-4731519298073195-1.jpg,Calf Length,Calf Length,TRUE,
1561536,http://myntra.myntassets.com/assets/images/1561536/2016/10/1/11475319330738-Anouk-Women-Kurtas-8641475319330540-1.jpg,Above Knee,Above Knee,TRUE,
2477198,http://myntra.myntassets.com/assets/images/2477198/2018/2/12/11518416425000-NA-4061518416424821-1.jpg,Calf Length,Calf Length,TRUE,
